artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Faith Evans,I Love You,267160,FALSO,2001,53,847,757,11,-4.062,0,926,981,0.0,234,567,168.004,"hip hop, pop, R&B"
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,FALSO,2001,54,668,877,2,-5.424,1,493,124,0.0,148,764,131.044,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,FALSO,2001,54,464,772,9,-5.4,0,307,123,0.0,341,911,118.011,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,FALSO,2001,54,697,922,0,-8.399,1,638,124,227,546,695,129.078,Dance/Electronic
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,VERDADERO,2001,55,612,793,6,-4.699,0,323,844,0.0,619,560,89.767,"hip hop, pop"
Case,Missing You,284666,FALSO,2001,55,603,579,1,-6.417,0,553,285,0.0,556,716,86.310,"hip hop, pop, R&B"
Kylie Minogue,Love at First Sight,238266,FALSO,2001,55,776,774,3,-6.066,0,428,288,51,533,480,124.994,"pop, Dance/Electronic"
Enrique Iglesias,Escape,208626,FALSO,2001,56,697,844,11,-5.305,1,297,277,244,135,868,125.972,"pop, latin"
Sunshine Anderson,Heard It All Before,295826,FALSO,2001,56,652,925,3,-4.209,0,216,614,0.0,95,678,96.951,"pop, R&B"
112,It's Over Now,264933,FALSO,2001,57,757,710,1,-4.541,1,409,106,7.01e-06,736,233,97.988,"hip hop, pop, R&B"
2Pac,Until The End Of Time,266506,VERDADERO,2001,57,897,706,8,-6.665,1,203,267,0.0,197,375,96.976,hip hop
Erick Sermon,Music (feat. Marvin Gaye),223133,VERDADERO,2001,57,775,466,10,-9.053,0,203,187,1.35e-06,757,884,100.010,"hip hop, pop"
Jennifer Lopez,Play,211493,VERDADERO,2001,57,622,729,1,-4.229,0,162,303,247,361,895,104.719,"hip hop, pop, R&B"
Missy Elliott,One Minute Man (feat. Ludacris),252986,VERDADERO,2001,57,578,669,9,-8.419,1,329,266,2.97e-06,152,570,93.839,"hip hop, pop, R&B"
Atomic Kitten,Eternal Flame - Single Version,195506,FALSO,2001,58,582,581,0,-6.867,1,318,658,42,674,408,83.293,pop
Blue,If You Come Back,207560,FALSO,2001,58,534,707,10,-4.487,1,319,822,0.0,467,701,78.375,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,FALSO,2001,58,574,543,3,-6.857,1,245,579,0.0,112,418,78.996,pop
C̩line Dion,A New Day Has Come - Radio Remix,259773,FALSO,2001,59,925,691,6,-5.103,1,350,826,1.65e-05,149,195,91.969,pop
J-Kwon,Tipsy - Club Mix,247106,VERDADERO,2001,59,933,741,9,-5.827,0,315,653,0.0,440,654,93.040,"hip hop, pop"
Trick Daddy,I'm a Thug,254400,VERDADERO,2001,59,793,561,11,-5.961,1,122,275,0.0,102,586,139.976,"hip hop, pop"
Usher,U Don't Have to Call,269400,VERDADERO,2001,59,872,568,1,-4.958,1,459,478,3.57e-05,304,806,100.005,"hip hop, pop, R&B"
Christina Milian,AM To PM,231213,FALSO,2001,60,955,868,10,-3.036,0,120,153,2.26e-05,843,822,105.005,"hip hop, pop, R&B"
Christina Milian,When You Look At Me - Radio Edit,222546,FALSO,2001,60,321,839,3,-3.399,0,127,934,175,99,825,108.955,"hip hop, pop, R&B"
Faith Hill,There You'll Be,222120,FALSO,2001,60,558,511,8,-7.77,1,306,513,0.0,127,170,128.980,"pop, country"
Gabrielle,Rise,219093,FALSO,2001,60,558,481,8,-9.487,1,260,315,8.83e-06,900,631,144.673,"pop, R&B"
Gabrielle,Rise,219093,FALSO,2001,60,921,481,8,-9.487,1,260,315,8.83e-06,900,631,144.673,"pop, R&B"
Ludacris,Rollout (My Business),296586,VERDADERO,2001,60,499,668,7,-8.73,1,235,949,0.0,592,892,131.059,"hip hop, pop"
Michelle Branch,All You Wanted,217680,FALSO,2001,60,624,720,8,-9.101,1,286,466,303,122,652,96.103,"pop, Folk/Acoustic"
P!nk,Don't Let Me Get Me - Radio Edit,210693,FALSO,2001,60,585,850,0,-4.754,0,756,234,0.0,621,615,98.525,pop
S Club 7,Have You Ever,201533,FALSO,2001,60,682,702,0,-5.734,1,325,538,0.0,216,510,139.909,pop
Britney Spears,Overprotected - Radio Edit,198600,FALSO,2001,61,478,894,0,-1.73,0,727,381,0.0,416,845,95.992,pop
LeAnn Rimes,I Need You,229826,FALSO,2001,61,653,736,7,-7.124,1,367,200,9.58e-05,118,564,144.705,"pop, country"
Mary J. Blige,No More Drama,326240,FALSO,2001,61,739,837,6,-6.818,0,124,534,7.12e-05,784,640,97.914,"pop, R&B"
The Supermen Lovers,Starlight - Radio Edit,234400,FALSO,2001,61,637,679,0,-5.079,1,373,424,187,389,786,127.487,Dance/Electronic
Geri Halliwell,It's Raining Men,254640,FALSO,2001,62,689,929,5,-6.03,0,447,63,796,318,604,136.482,pop
Kylie Minogue,In Your Eyes,197826,FALSO,2001,62,677,894,6,-6.342,0,672,133,4.72e-05,681,709,123.971,"pop, Dance/Electronic"
112,Peaches & Cream,193093,FALSO,2001,63,721,520,4,-6.255,0,334,277,0.0,532,768,203.862,"hip hop, pop, R&B"
Blue,All Rise,223546,FALSO,2001,63,618,737,5,-2.734,0,324,121,0.0,165,931,97.996,pop
JAY-Z,Izzo (H.O.V.A.),240626,VERDADERO,2001,63,822,844,1,-4.051,0,342,178,126,634,697,84.411,hip hop
S Club 7,Don't Stop Movin',233626,FALSO,2001,63,842,672,7,-6.133,1,329,285,0.0,213,910,117.033,pop
Destiny's Child,Bootylicious,207906,FALSO,2001,64,874,835,1,-4.386,0,275,281,1.11e-06,152,637,103.376,"pop, R&B"
Ja Rule,Livin' It Up,257066,FALSO,2001,64,854,768,6,-4.086,1,311,554,0.0,410,636,106.095,"hip hop, pop, R&B"
Michael Jackson,You Rock My World,337733,FALSO,2001,64,432,673,4,-3.132,0,185,38,227,255,955,95.000,"pop, R&B"
Puddle Of Mudd,Blurry,303920,FALSO,2001,64,654,936,3,-4.537,0,562,691,0.0,140,499,157.469,"rock, metal"
Robbie Williams,Somethin' Stupid,170493,FALSO,2001,64,616,515,0,-12.185,1,261,429,5.62e-06,174,677,106.191,"pop, rock"
Shakira,Underneath Your Clothes,224066,FALSO,2001,64,509,597,8,-5.328,1,415,691,0.0,104,362,165.508,"pop, latin"
Staind,It's Been Awhile,264706,VERDADERO,2001,64,734,774,6,-4.054,1,338,189,549,143,824,116.529,"rock, metal"
